instance_id;x;y
Impartial Culture_0;171.83923;-595.8161
Impartial Culture_1;331.20667;-584.04556
Impartial Culture_2;203.45835;-614.3478
Impartial Culture_3;316.28539;-474.84733
Impartial Culture_4;370.82202;-570.16781
Impartial Culture_5;134.2044;-624.99555
Impartial Culture_6;262.76375;-502.39216
Impartial Culture_7;410.85771;-447.40103
Impartial Culture_8;282.77945;-536.78822
Impartial Culture_9;335.55883;-537.177
Impartial Culture_10;371.68968;-442.02091
Impartial Culture_11;238.52497;-602.67015
Impartial Culture_12;388.9494;-536.08181
Impartial Culture_13;358.87644;-485.66848
Impartial Culture_14;240.24628;-567.78804
Impartial Culture_15;287.03556;-582.50637
SP by Conitzer_0;103.75402;294.66029
SP by Conitzer_1;90.72388;263.2279
SP by Conitzer_2;-20.31566;298.26102
SP by Conitzer_3;33.48208;319.65702
SP by Conitzer_4;150.01409;301.89891
SP by Conitzer_5;117.3926;349.47271
SP by Conitzer_6;58.67504;254.44085
SP by Conitzer_7;13.16228;363.84878
SP by Conitzer_8;122.60089;267.10945
SP by Conitzer_9;58.8346;282.31606
SP by Conitzer_10;27.02065;269.6962
SP by Conitzer_11;63.38396;308.27916
SP by Conitzer_12;70.76378;226.52302
SP by Conitzer_13;-9.33946;244.42538
SP by Conitzer_14;96.57918;324.94753
SP by Conitzer_15;146.80985;345.14372
SP by Walsh_0;-434.82211;-18.80474
SP by Walsh_1;-392.14119;21.32508
SP by Walsh_2;-357.12051;-2.64544
SP by Walsh_3;-357.2457;44.41698
SP by Walsh_4;-447.75062;30.065
SP by Walsh_5;-386.68082;-29.18364
SP by Walsh_6;-356.53235;91.03195
SP by Walsh_7;-474.13318;1.7095
SP by Walsh_8;-331.92491;22.72681
SP by Walsh_9;-371.21096;65.7268
SP by Walsh_10;-417.30617;39.26587
SP by Walsh_11;-420.62708;99.09828
SP by Walsh_12;-442.1684;64.32009
SP by Walsh_13;-302.13831;83.3934
SP by Walsh_14;-392.73458;98.03077
SP by Walsh_15;-403.86437;-10.79526
SPOC_0;393.26902;52.48466
SPOC_1;488.37324;62.5287
SPOC_2;407.81528;107.50957
SPOC_3;449.36605;31.70189
SPOC_4;458.54329;86.06715
SPOC_5;372.00569;-6.06471
SPOC_6;427.26242;-5.191
SPOC_7;333.44611;110.43051
SPOC_8;273.95483;6.59064
SPOC_9;284.47425;67.65898
SPOC_10;329.87742;23.11254
SPOC_11;369.21249;82.81283
SPOC_12;322.54919;65.73661
SPOC_13;526.39229;62.34359
SPOC_14;502.67511;21.71801
SPOC_15;336.52562;-17.88497
Single-Crossing_0;-319.50851;229.68445
Single-Crossing_1;-223.08877;171.28086
Single-Crossing_2;-289.13975;293.76566
Single-Crossing_3;-334.67714;192.77476
Single-Crossing_4;-228.10568;282.51308
Single-Crossing_5;-246.9495;79.84769
Single-Crossing_6;-159.01402;199.95117
Single-Crossing_7;-266.37556;256.05352
Single-Crossing_8;-221.9928;226.95329
Single-Crossing_9;-242.37408;196.42527
Single-Crossing_10;-182.31918;127.37177
Single-Crossing_11;-320.1727;257.69772
Single-Crossing_12;-121.26679;200.72624
Single-Crossing_13;-253.94583;38.11228
Single-Crossing_14;-300.03116;188.54091
Single-Crossing_15;-226.56999;129.72088
GS Balanced_0;499.01245;287.83435
GS Balanced_1;398.43701;338.35386
GS Balanced_2;486.56333;361.10447
GS Balanced_3;336.43373;389.66717
GS Balanced_4;422.90246;291.82725
GS Balanced_5;447.07799;381.93793
GS Balanced_6;460.52555;306.10086
GS Balanced_7;381.32689;302.59846
GS Balanced_8;413.77354;376.39213
GS Balanced_9;345.07565;346.25743
GS Balanced_10;551.73662;311.25386
GS Balanced_11;565.29904;271.03574
GS Balanced_12;453.04333;344.68396
GS Balanced_13;572.48027;236.36781
GS Balanced_14;469.12835;252.51246
GS Balanced_15;511.05938;327.39295
GS Caterpillar_0;603.43572;-308.67285
GS Caterpillar_1;580.56064;-241.63202
GS Caterpillar_2;435.39581;-264.83925
GS Caterpillar_3;426.11463;-319.17278
GS Caterpillar_4;529.35212;-222.107
GS Caterpillar_5;408.74374;-357.42317
GS Caterpillar_6;471.37147;-371.60231
GS Caterpillar_7;525.66264;-275.788
GS Caterpillar_8;456.35484;-428.98841
GS Caterpillar_9;532.02107;-405.226
GS Caterpillar_10;627.42851;-270.39462
GS Caterpillar_11;577.83344;-365.0318
GS Caterpillar_12;483.81153;-315.3317
GS Caterpillar_13;540.34652;-353.90482
GS Caterpillar_14;582.65067;-197.90483
GS Caterpillar_15;621.68595;-231.17529
Interval_0;-34.29734;326.03431
Interval_1;-1.74875;440.20222
Interval_2;-171.75887;287.67365
Interval_3;-61.99026;358.63427
Interval_4;-79.85788;267.05638
Interval_5;88.10079;453.09678
Interval_6;-261.5286;386.0436
Interval_7;56.80189;378.77095
Interval_8;-193.96054;362.38297
Interval_9;188.33712;499.18432
Interval_10;80.22839;392.89319
Interval_11;42.14299;511.15479
Interval_12;150.30739;448.43626
Interval_13;-76.52861;442.75777
Interval_14;-12.76739;414.44417
Interval_15;-36.67277;466.97849
Square_0;96.83128;34.60586
Square_1;-5.19223;56.01595
Square_2;205.31357;106.2199
Square_3;24.75169;131.82543
Square_4;27.78739;28.7847
Square_5;121.68157;6.8338
Square_6;48.60847;87.05675
Square_7;-72.86814;10.04445
Square_8;139.45766;164.58931
Square_9;144.73083;71.29261
Square_10;-106.49358;106.18872
Square_11;101.76287;102.25407
Square_12;90.31394;148.54371
Square_13;158.49252;97.64644
Square_14;214.0927;145.49192
Square_15;216.36676;189.02248
Cube_0;2.54169;-42.70665
Cube_1;113.67038;-166.11661
Cube_2;197.64918;-102.86138
Cube_3;3.03364;-90.22435
Cube_4;93.9549;-56.78638
Cube_5;78.85063;-112.70659
Cube_6;-149.41558;-15.68724
Cube_7;170.60367;-72.9983
Cube_8;-153.47786;-92.4513
Cube_9;-58.48099;49.51088
Cube_10;33.95352;-29.16082
Cube_11;119.23108;-31.83465
Cube_12;-46.30673;-62.95103
Cube_13;125.86465;-123.10154
Cube_14;-93.49815;45.84473
Cube_15;47.38359;-129.01845
5-Cube_0;230.37482;-227.47902
5-Cube_1;-101.05822;-158.13282
5-Cube_2;-57.70482;-171.84356
5-Cube_3;95.33917;-297.04569
5-Cube_4;147.58601;-193.88095
5-Cube_5;15.11863;-130.78905
5-Cube_6;270.21785;-241.07966
5-Cube_7;-44.38826;-9.40175
10-Cube_0;-146.06974;-141.27414
10-Cube_1;102.1025;-246.68135
10-Cube_2;248.82455;-343.78498
10-Cube_3;187.5746;-259.71663
10-Cube_4;66.03844;-303.4684
10-Cube_5;-70.03282;-232.39994
10-Cube_6;-185.59379;-218.4639
10-Cube_7;199.04744;-356.19319
Circle_0;502.88505;145.71577
Circle_1;376.85583;331.08844
Circle_2;315.36473;238.53883
Circle_3;277.10126;211.34246
Circle_4;486.01146;231.65408
Circle_5;537.07006;199.49264
Circle_6;361.6056;215.46291
Circle_7;483.64072;161.2794
Circle_8;544.85588;141.02576
Circle_9;400.45262;184.0498
Circle_10;290.81225;263.25171
Circle_11;380.79537;405.1465
Circle_12;436.45021;233.75646
Circle_13;445.68118;191.05419
Circle_14;565.77539;181.40039
Circle_15;383.51644;257.24425
Sphere_0;487.84958;-1.14002
Sphere_1;461.08401;-152.71107
Sphere_2;519.70211;-45.38401
Sphere_3;554.4788;-4.45357
Sphere_4;459.03175;-53.63079
Sphere_5;546.12583;-31.20551
Sphere_6;286.13614;-90.27716
Sphere_7;338.68172;-177.65036
Sphere_8;491.32117;-79.78523
Sphere_9;417.80152;-68.0304
Sphere_10;409.3199;-129.26055
Sphere_11;310.6115;-143.5188
Sphere_12;475.21885;-107.77023
Sphere_13;391.9125;-153.42799
Sphere_14;372.37657;-76.4211
Sphere_15;282.30851;40.98349
Urn_0;-304.25045;464.75727
Urn_1;-560.03893;168.95483
Urn_2;-567.09313;188.64046
Urn_3;131.95125;-361.74943
Urn_4;36.44156;-482.67673
Urn_5;-703.35696;325.01769
Urn_6;-499.91141;341.932
Urn_7;284.52036;-322.46698
Urn_8;-399.87296;430.71335
Urn_9;70.41751;468.98859
Urn_10;-508.62382;274.41166
Urn_11;-566.80572;385.34316
Urn_12;-447.6988;379.42232
Urn_13;598.43246;-13.86276
Urn_14;-337.20028;390.70695
Urn_15;-177.29146;537.231
Urn_16;-835.4029;143.72215
Urn_17;-689.75651;275.38668
Urn_18;235.05506;322.4349
Urn_19;186.27017;269.07255
Urn_20;-668.48195;197.87484
Urn_21;-750.57437;225.5494
Urn_22;-192.50743;464.13393
Urn_23;-859.39993;131.33459
Urn_24;-516.581;421.75845
Urn_25;205.50309;-247.45852
Urn_26;210.17084;-426.18723
Urn_27;356.47246;-339.13536
Urn_28;-553.88866;329.67129
Urn_29;-44.12174;-442.34568
Urn_30;-357.84777;536.82109
Urn_31;-142.9774;341.64338
Urn_32;-642.60389;231.76699
Urn_33;-474.58551;273.86927
Urn_34;-184.28703;432.69749
Urn_35;-242.22073;394.37726
Urn_36;252.18321;426.98103
Urn_37;-232.89177;415.72847
Urn_38;-281.12111;536.88448
Urn_39;-867.3064;87.3592
Urn_40;132.5258;582.52835
Urn_41;-107.16978;390.741
Urn_42;198.43496;-513.64979
Urn_43;-720.92567;151.396
Urn_44;-98.44466;473.77746
Urn_45;42.09518;551.84799
Urn_46;-19.91528;512.17143
Urn_47;-173.09945;-254.27726
Mallows_0;-29.2983;-492.15166
