instance_id;x;y
Impartial Culture_0;583.69086;-37.28238
Impartial Culture_1;615.76459;93.21966
Impartial Culture_2;604.98713;-19.08761
Impartial Culture_3;561.38811;101.08752
Impartial Culture_4;621.30512;109.72988
Impartial Culture_5;597.74684;-69.23381
Impartial Culture_6;560.37375;60.82175
Impartial Culture_7;552.20055;206.10642
Impartial Culture_8;582.26554;65.38374
Impartial Culture_9;578.88813;147.59899
Impartial Culture_10;551.75702;173.40313
Impartial Culture_11;598.23668;24.21456
Impartial Culture_12;602.97765;137.58325
Impartial Culture_13;570.8444;124.7183
Impartial Culture_14;590.07829;12.46333
Impartial Culture_15;607.39707;47.46478
SP by Conitzer_0;-202.57387;277.20486
SP by Conitzer_1;-202.01152;262.72602
SP by Conitzer_2;-229.39682;196.96318
SP by Conitzer_3;-212.54737;245.59658
SP by Conitzer_4;-198.97702;317.20241
SP by Conitzer_5;-213.15697;324.0609
SP by Conitzer_6;-206.22278;247.45289
SP by Conitzer_7;-244.48007;243.7746
SP by Conitzer_8;-198.81902;279.84024
SP by Conitzer_9;-201.86697;254.70237
SP by Conitzer_10;-206.14451;231.66126
SP by Conitzer_11;-209.31348;251.72964
SP by Conitzer_12;-191.72834;232.54642
SP by Conitzer_13;-212.28779;177.88925
SP by Conitzer_14;-208.31708;294.47237
SP by Conitzer_15;-215.78279;334.84994
SP by Walsh_0;-221.19044;-278.84857
SP by Walsh_1;-210.06984;-256.08231
SP by Walsh_2;-217.05241;-235.79948
SP by Walsh_3;-222.95119;-226.08781
SP by Walsh_4;-211.47338;-289.58494
SP by Walsh_5;-203.16889;-267.09299
SP by Walsh_6;-210.44142;-222.74162
SP by Walsh_7;-219.0126;-316.07705
SP by Walsh_8;-203.43217;-216.03682
SP by Walsh_9;-214.69885;-220.63534
SP by Walsh_10;-212.211;-272.18654
SP by Walsh_11;-223.55608;-253.84749
SP by Walsh_12;-210.14122;-282.48599
SP by Walsh_13;-215.40552;-170.30628
SP by Walsh_14;-211.2165;-235.01297
SP by Walsh_15;-201.64022;-262.28583
Interval_0;-255.30588;207.89927
Interval_1;-301.70303;259.14729
Interval_2;-290.40785;40.49505
Interval_3;-283.06938;196.79274
Interval_4;-255.08095;124.67541
Interval_5;-290.85341;322.95199
Interval_6;-397.53748;-0.05083
Interval_7;-247.41622;285.94227
Interval_8;-346.00791;33.09914
Interval_9;-281.07276;449.96057
Interval_10;-256.74178;301.38734
Interval_11;-340.2457;326.65685
Interval_12;-268.22625;385.97383
Interval_13;-344.49758;205.94047
Interval_14;-302.50481;233.69424
Interval_15;-336.63029;211.16639
Square_0;35.26965;206.22733
Square_1;-18.12543;119.55396
Square_2;15.34084;326.29575
Square_3;-86.31908;197.26801
Square_4;19.09839;152.19338
Square_5;19.03385;209.9449
Square_6;-33.72716;185.02111
Square_7;-49.84932;68.77327
Square_8;-70.24981;274.37645
Square_9;-4.76062;266.04125
Square_10;-145.51249;17.02352
Square_11;-36.47503;235.45108
Square_12;-54.4309;240.13772
Square_13;14.43104;271.67739
Square_14;-2.95599;334.49924
Square_15;-14.93206;345.10775
Cube_0;48.55825;35.4481
Cube_1;196.91977;148.68709
Cube_2;182.91686;216.71637
Cube_3;101.00006;42.01685
Cube_4;116.29375;133.89148
Cube_5;154.53373;89.72307
Cube_6;-58.90482;-65.14719
Cube_7;170.59116;195.31289
Cube_8;17.12244;-93.98648
Cube_9;-52.3113;30.92509
Cube_10;49.18868;99.75176
Cube_11;99.60062;164.79715
Cube_12;37.42264;45.56688
Cube_13;164.57549;140.05461
Cube_14;-86.6372;6.95913
Cube_15;127.93492;89.38981
5-Cube_0;313.15085;167.85812
5-Cube_1;109.82187;-115.77327
5-Cube_2;153.08617;-73.68743
5-Cube_3;303.46834;-5.71159
5-Cube_4;258.45545;87.70411
5-Cube_5;153.51697;33.46445
5-Cube_6;341.11332;182.19451
5-Cube_7;-5.34744;15.27977
10-Cube_0;69.72468;-148.18013
10-Cube_1;277.97375;28.90155
10-Cube_2;431.55694;117.23003
10-Cube_3;340.59414;93.81001
10-Cube_4;318.4943;-38.09796
10-Cube_5;190.95717;-130.27213
10-Cube_6;105.40163;-194.08144
10-Cube_7;421.91002;43.9228
Circle_0;87.55778;510.00449
Circle_1;-8.31103;544.63381
Circle_2;2.96155;468.87355
Circle_3;40.6375;446.39263
Circle_4;58.78813;530.67854
Circle_5;88.73497;548.45657
Circle_6;23.50595;494.61784
Circle_7;93.61811;524.15712
Circle_8;77.10991;533.93196
Circle_9;69.23903;510.34638
Circle_10;-29.37096;451.42777
Circle_11;-31.07538;567.53748
Circle_12;33.55913;530.43626
Circle_13;60.75748;519.99887
Circle_14;70.29062;564.40893
Circle_15;30.32205;510.55362
Sphere_0;168.33624;462.363
Sphere_1;317.12806;395.08916
Sphere_2;235.13515;449.15938
Sphere_3;231.60432;468.48588
Sphere_4;196.28695;449.16688
Sphere_5;247.99529;451.17676
Sphere_6;212.18331;334.52792
Sphere_7;290.81085;329.92138
Sphere_8;231.17778;429.40884
Sphere_9;205.84323;439.86936
Sphere_10;282.22571;377.10412
Sphere_11;256.96572;326.17636
Sphere_12;274.18591;411.06985
Sphere_13;272.9335;389.56131
Sphere_14;208.70837;422.63356
Sphere_15;132.85512;407.58475
Urn_0;-484.37256;-16.20902
Urn_1;-393.81079;-343.15028
Urn_2;-359.63183;-381.35107
Urn_3;377.89666;36.50785
Urn_4;481.6652;-200.00171
Urn_5;-546.10526;-399.94184
Urn_6;-475.82836;-219.61487
Urn_7;421.82121;182.75099
Urn_8;-499.82426;-92.43497
Urn_9;-393.44116;272.53575
Urn_10;-437.71759;-259.83167
Urn_11;-549.91638;-245.60129
Urn_12;-489.01068;-170.36433
Urn_13;328.811;460.97044
Urn_14;-458.61748;-53.10952
Urn_15;-499.64656;106.3925
Urn_16;-488.04182;-593.20943
Urn_17;-505.12687;-424.83412
Urn_18;119.52188;344.26563
Urn_19;-95.68775;392.00683
Urn_20;-447.99716;-439.83906
Urn_21;-494.22169;-483.43625
Urn_22;-433.31976;81.49072
Urn_23;-485.66319;-600.9488
Urn_24;-554.27905;-219.483
Urn_25;310.22639;259.45189
Urn_26;480.68491;28.55651
Urn_27;447.61037;287.87677
Urn_28;-504.16127;-256.17927
Urn_29;433.64032;-269.22485
Urn_30;-571.3254;-15.05527
