instance_id;x;y
Impartial Culture_0;-0.47385;-0.64359
Impartial Culture_1;-0.32204;-0.83258
Impartial Culture_2;-0.20114;-0.76505
Impartial Culture_3;-0.21211;-0.69478
Impartial Culture_4;-0.27482;-0.88827
Impartial Culture_5;-0.54062;-0.70658
Impartial Culture_6;-0.31044;-0.68066
Impartial Culture_7;-0.16243;-0.83277
Impartial Culture_8;-0.28467;-0.74434
Impartial Culture_9;-0.37137;-0.74939
Impartial Culture_10;-0.04621;-0.77455
Impartial Culture_11;-0.2495;-0.81632
Impartial Culture_12;-0.38646;-0.82338
Impartial Culture_13;-0.44765;-0.72291
Impartial Culture_14;-0.53965;-0.63825
Impartial Culture_15;-0.60206;-0.62479
SP by Conitzer_0;0.42874;0.14499
SP by Conitzer_1;0.37939;0.17434
SP by Conitzer_2;0.32517;0.31343
SP by Conitzer_3;0.40736;0.25547
SP by Conitzer_4;0.48348;0.10891
SP by Conitzer_5;0.51751;0.20631
SP by Conitzer_6;0.31618;0.18332
SP by Conitzer_7;0.39782;0.32883
SP by Conitzer_8;0.39108;0.09445
SP by Conitzer_9;0.32697;0.12122
SP by Conitzer_10;0.28198;0.23533
SP by Conitzer_11;0.35443;0.23705
SP by Conitzer_12;0.25464;0.15795
SP by Conitzer_13;0.21249;0.24315
SP by Conitzer_14;0.45521;0.2056
SP by Conitzer_15;0.53935;0.15034
SP by Walsh_0;-0.41254;0.43522
SP by Walsh_1;-0.23791;0.52601
SP by Walsh_2;-0.31895;0.35531
SP by Walsh_3;-0.16728;0.52798
SP by Walsh_4;-0.32941;0.55138
SP by Walsh_5;-0.36087;0.405
SP by Walsh_6;-0.25484;0.34956
SP by Walsh_7;-0.3995;0.53114
SP by Walsh_8;-0.21516;0.40181
SP by Walsh_9;-0.1917;0.46721
SP by Walsh_10;-0.34796;0.4759
SP by Walsh_11;-0.19567;0.5895
SP by Walsh_12;-0.27517;0.58047
SP by Walsh_13;-0.14659;0.39439
SP by Walsh_14;-0.27814;0.42108
SP by Walsh_15;-0.28643;0.4834
SPOC_0;0.39457;-0.37475
SPOC_1;0.53349;-0.49273
SPOC_2;0.47551;-0.35133
SPOC_3;0.46283;-0.49736
SPOC_4;0.50469;-0.42666
SPOC_5;0.43898;-0.26949
SPOC_6;0.38715;-0.4762
SPOC_7;0.30958;-0.34188
SPOC_8;0.28706;-0.23247
SPOC_9;0.23416;-0.2995
SPOC_10;0.33849;-0.27394
SPOC_11;0.31986;-0.41168
SPOC_12;0.24276;-0.37143
SPOC_13;0.5505;-0.55733
SPOC_14;0.48195;-0.56151
SPOC_15;0.38935;-0.30969
Single-Crossing_0;0.0207;0.62233
Single-Crossing_1;0.06688;0.39814
Single-Crossing_2;-0.03889;0.46404
Single-Crossing_3;-0.00152;0.55901
Single-Crossing_4;0.07454;0.51694
Single-Crossing_5;0.09168;0.58145
Single-Crossing_6;0.0725;0.31411
Single-Crossing_7;0.15117;0.54116
Single-Crossing_8;0.02954;0.45065
Single-Crossing_9;0.11115;0.45937
Single-Crossing_10;-0.05057;0.28933
Single-Crossing_11;-0.15706;0.30032
Single-Crossing_12;0.14285;0.34039
Single-Crossing_13;-0.07241;0.51183
Single-Crossing_14;-0.05775;0.58898
Single-Crossing_15;-0.00764;0.3599
GS Balanced_0;0.72189;-0.23363
GS Balanced_1;0.69578;0.02215
GS Balanced_2;0.78656;-0.15316
GS Balanced_3;0.59939;-0.0497
GS Balanced_4;0.7554;0.0416
GS Balanced_5;0.71403;-0.108
GS Balanced_6;0.78849;-0.09459
GS Balanced_7;0.66296;-0.05696
GS Balanced_8;0.73027;-0.038
GS Balanced_9;0.62956;0.02673
GS Balanced_10;0.8031;-0.31462
GS Balanced_11;0.85096;-0.18626
GS Balanced_12;0.79461;-0.03177
GS Balanced_13;0.84435;-0.26976
GS Balanced_14;0.69723;-0.16583
GS Balanced_15;0.78187;-0.21854
GS Caterpillar_0;0.16573;-0.87462
GS Caterpillar_1;0.12852;-0.79099
GS Caterpillar_2;0.05279;-0.64798
GS Caterpillar_3;0.11462;-0.71369
GS Caterpillar_4;0.03776;-0.72919
GS Caterpillar_5;-0.02662;-0.64794
GS Caterpillar_6;0.25296;-0.7573
GS Caterpillar_7;0.19033;-0.78226
GS Caterpillar_8;0.06468;-0.81865
GS Caterpillar_9;0.22496;-0.87965
GS Caterpillar_10;0.07619;-0.88517
GS Caterpillar_11;-0.07942;-0.84536
GS Caterpillar_12;-0.0982;-0.75015
GS Caterpillar_13;0.26682;-0.82769
GS Caterpillar_14;-0.07688;-0.68837
GS Caterpillar_15;-0.00105;-0.84573
Interval_0;0.27136;0.32619
Interval_1;0.41812;0.40923
Interval_2;0.2016;0.45902
Interval_3;0.32071;0.40745
Interval_4;0.22535;0.37079
Interval_5;0.59961;0.31718
Interval_6;0.22712;0.62331
Interval_7;0.4751;0.30002
Interval_8;0.24386;0.53004
Interval_9;0.73318;0.24038
Interval_10;0.53461;0.28461
Interval_11;0.61825;0.39302
Interval_12;0.65252;0.25341
Interval_13;0.433;0.48214
Interval_14;0.48388;0.37829
Interval_15;0.36788;0.47231
Square_0;0.1206;-0.08531
Square_1;0.04014;0.0629
Square_2;0.32454;-0.07068
Square_3;0.16111;0.13928
Square_4;0.05565;-0.02326
Square_5;0.11732;0.07754
Square_6;0.13263;0.01481
Square_7;-0.11189;0.08537
Square_8;0.24073;0.05077
Square_9;0.24077;-0.06215
Square_10;0.03362;0.23371
Square_11;0.19218;-0.01412
Square_12;0.29848;0.01556
Square_13;0.19753;-0.12234
Square_14;0.30636;-0.13434
Square_15;0.39524;-0.07207
Cube_0;-0.10401;-0.00554
Cube_1;-0.07457;-0.2562
Cube_2;0.10181;-0.2794
Cube_3;-0.10109;-0.074
Cube_4;0.04916;-0.1413
Cube_5;-0.01844;-0.07756
Cube_6;-0.13761;0.18058
Cube_7;0.03785;-0.29356
Cube_8;-0.26281;0.04305
Cube_9;-0.02146;0.15379
Cube_10;-0.02422;-0.13557
Cube_11;0.10102;-0.18511
Cube_12;-0.03581;0.01596
Cube_13;-0.0041;-0.2262
Cube_14;0.04967;0.16696
Cube_15;-0.10037;-0.18194
5-Cube_0;-0.10199;-0.40299
5-Cube_1;-0.22056;-0.01402
5-Cube_2;-0.23352;-0.08833
5-Cube_3;-0.19798;-0.37931
5-Cube_4;-0.06402;-0.32904
5-Cube_5;-0.14902;-0.124
5-Cube_6;-0.01298;-0.50103
5-Cube_7;-0.05194;0.0958
10-Cube_0;-0.21274;0.09147
10-Cube_1;-0.15805;-0.30776
10-Cube_2;-0.10529;-0.55997
10-Cube_3;-0.07313;-0.45762
10-Cube_4;-0.26327;-0.34353
10-Cube_5;-0.3282;-0.11431
10-Cube_6;-0.28903;0.11925
10-Cube_7;-0.17141;-0.49396
Circle_0;0.54619;-0.28237
Circle_1;0.63677;-0.17533
