instance_id;value;time
Impartial Culture_0;1.265407485;32.25740004
Impartial Culture_1;1.276599437;32.45357418
Impartial Culture_2;1.30440702;30.97673726
Impartial Culture_3;1.271801617;32.57783651
Impartial Culture_4;1.300081087;32.14530778
Impartial Culture_5;1.263051135;30.1705215
Impartial Culture_6;1.272415725;30.32714581
Impartial Culture_7;1.269533545;30.21311903
Impartial Culture_8;1.286413734;28.93011808
Impartial Culture_9;1.284831196;33.03912854
Impartial Culture_10;1.273364586;29.26147032
Impartial Culture_11;1.284580545;29.64634776
Impartial Culture_12;1.281728383;31.21327806
Impartial Culture_13;1.271065966;30.89258337
Impartial Culture_14;1.275192712;32.18002915
Impartial Culture_15;1.274719055;32.3631413
SP by Conitzer_0;0.509581727;13.59972215
SP by Conitzer_1;0.512864594;12.0906527
SP by Conitzer_2;0.484385009;15.12693095
SP by Conitzer_3;0.510260442;16.94899654
SP by Conitzer_4;0.516571266;9.950062037
SP by Conitzer_5;0.508794298;10.81585455
SP by Conitzer_6;0.503330511;13.27829432
SP by Conitzer_7;0.488947594;12.48840475
SP by Conitzer_8;0.51079476;14.41160846
SP by Conitzer_9;0.503342757;13.14194012
SP by Conitzer_10;0.510595389;13.62572408
SP by Conitzer_11;0.502351635;12.40387893
SP by Conitzer_12;0.517138295;13.41981459
SP by Conitzer_13;0.494394332;12.53979611
SP by Conitzer_14;0.506121361;12.20082068
SP by Conitzer_15;0.498475684;9.831161261
SP by Walsh_0;0.371048327;18.69133997
SP by Walsh_1;0.394628105;18.38076925
SP by Walsh_2;0.391509735;19.76298952
SP by Walsh_3;0.39797264;19.46988869
SP by Walsh_4;0.382589591;19.76851654
SP by Walsh_5;0.400757151;19.51801586
SP by Walsh_6;0.399516342;19.02384782
SP by Walsh_7;0.361487312;19.37491608
SP by Walsh_8;0.417780916;20.00967717
SP by Walsh_9;0.411590389;19.93332815
SP by Walsh_10;0.390279195;20.02399135
SP by Walsh_11;0.389144954;19.75747538
SP by Walsh_12;0.381218611;19.26494479
SP by Walsh_13;0.415327739;18.6293323
SP by Walsh_14;0.388311662;20.76515913
SP by Walsh_15;0.397911372;21.87840033
SPOC_0;0.837009696;23.68216538
SPOC_1;0.850792307;24.46833611
SPOC_2;0.833860765;24.54785609
SPOC_3;0.858211867;25.28076649
SPOC_4;0.853046749;27.65680408
SPOC_5;0.842089497;27.041471
SPOC_6;0.853636732;24.30396509
SPOC_7;0.844926149;26.48993897
SPOC_8;0.8169326;26.19053793
SPOC_9;0.828132381;24.83528185
SPOC_10;0.827644952;25.70352626
SPOC_11;0.84915975;35.4052
SPOC_12;0.826496049;27.70951414
SPOC_13;0.859365139;25.66680288
SPOC_14;0.875950706;24.7929647
SPOC_15;0.842972657;23.67897749
Single-Crossing_0;0.377769499;6.994574785
Single-Crossing_1;0.398341018;6.993141651
Single-Crossing_2;0.376443896;6.379380941
Single-Crossing_3;0.364430014;6.9188025
Single-Crossing_4;0.392115523;6.667760849
Single-Crossing_5;0.398122245;7.130601645
Single-Crossing_6;0.420877538;7.298944235
Single-Crossing_7;0.381559433;6.968840122
Single-Crossing_8;0.388889699;7.083877802
Single-Crossing_9;0.395038994;7.355382919
Single-Crossing_10;0.410500991;6.996304035
Single-Crossing_11;0.38681136;6.724003077
Single-Crossing_12;0.427266184;6.738209486
Single-Crossing_13;0.389356006;7.34175849
Single-Crossing_14;0.377673753;7.120015383
Single-Crossing_15;0.396601715;7.009818792
GS Balanced_0;0.740978785;19.61766958
GS Balanced_1;0.705352594;20.18732142
GS Balanced_2;0.751769063;19.25767064
GS Balanced_3;0.710962187;17.8772068
GS Balanced_4;0.717454957;19.52206802
GS Balanced_5;0.735036298;18.83342624
GS Balanced_6;0.728369346;17.85112453
GS Balanced_7;0.705357978;18.6323936
GS Balanced_8;0.722747181;19.54075432
GS Balanced_9;0.705339009;18.92414689
GS Balanced_10;0.738210961;17.15540338
GS Balanced_11;0.740478772;17.10651445
GS Balanced_12;0.733338964;17.58057022
GS Balanced_13;0.753449755;20.23568606
GS Balanced_14;0.71730956;19.4513092
GS Balanced_15;0.743072005;19.11222649
