instance_id;x;y
Impartial Culture_0;28.60063;-564.6706
Impartial Culture_1;-94.11429;-592.9022
Impartial Culture_2;2.74637;-583.68275
Impartial Culture_3;-76.57153;-537.18714
Impartial Culture_4;-77.8338;-605.94464
Impartial Culture_5;58.93184;-581.42541
Impartial Culture_6;-40.85796;-538.91941
Impartial Culture_7;-149.8267;-541.46929
Impartial Culture_8;-35.0339;-565.13286
Impartial Culture_9;-58.18019;-581.46729
Impartial Culture_10;-125.033;-534.47132
Impartial Culture_11;10.4239;-585.95578
Impartial Culture_12;-108.57237;-586.08838
Impartial Culture_13;-101.97208;-548.51828
Impartial Culture_14;-18.5641;-567.2661
Impartial Culture_15;-68.29143;-574.8115
SP by Conitzer_0;-209.00363;247.14371
SP by Conitzer_1;-197.10383;243.79181
SP by Conitzer_2;-137.59823;265.46791
SP by Conitzer_3;-183.573;251.67562
SP by Conitzer_4;-241.99333;251.95705
SP by Conitzer_5;-249.34969;265.55584
SP by Conitzer_6;-182.27335;248.71992
SP by Conitzer_7;-176.09336;283.3822
SP by Conitzer_8;-210.56599;244.32486
SP by Conitzer_9;-186.14054;245.33074
SP by Conitzer_10;-168.62603;243.74959
SP by Conitzer_11;-190.07677;248.73255
SP by Conitzer_12;-168.41522;233.49761
SP by Conitzer_13;-121.43636;245.6243
SP by Conitzer_14;-222.91529;256.2059
SP by Conitzer_15;-258.06763;272.13466
SP by Walsh_0;351.88443;208.30727
SP by Walsh_1;332.13921;197.26706
SP by Walsh_2;313.67422;206.26448
SP by Walsh_3;306.29885;210.51975
SP by Walsh_4;361.69596;198.0107
SP by Walsh_5;342.07118;188.86771
SP by Walsh_6;300.3227;199.3349
SP by Walsh_7;386.89801;205.19501
SP by Walsh_8;296.08847;190.87814
SP by Walsh_9;299.07904;203.90401
SP by Walsh_10;346.15981;199.15415
SP by Walsh_11;330.29631;211.71133
SP by Walsh_12;355.46823;197.74768
SP by Walsh_13;251.6184;204.09546
SP by Walsh_14;312.84647;200.23271
SP by Walsh_15;336.82676;189.30343
SPOC_0;-400.07219;-80.12419
SPOC_1;-445.39153;-113.14498
SPOC_2;-419.38164;-88.18804
SPOC_3;-441.81513;-117.11498
SPOC_4;-444.30236;-105.02022
