instance_id_1;instance_id_2;distance;time
SPOC_11;Mallows_18;849.0;36.22080731391907
SPOC_11;Mallows_19;938.0;39.121540546417236
SPOC_11;Mallows_20;622.0;34.497090101242065
SPOC_11;Mallows_21;979.0;37.00558090209961
SPOC_11;Mallows_22;745.0;40.467328786849976
SPOC_11;Mallows_23;693.0;38.817625999450684
SPOC_11;Mallows_24;893.0;39.48071265220642
SPOC_11;Mallows_25;1145.0;31.086566925048828
SPOC_11;Mallows_26;606.0;32.7815625667572
SPOC_11;Mallows_27;1034.0;25.906879901885986
SPOC_11;Mallows_28;1077.0;18.714105367660522
SPOC_11;Mallows_29;577.0;18.093708992004395
SPOC_11;Mallows_30;591.0;18.623384952545166
SPOC_11;Mallows_31;791.0;22.64031410217285
SPOC_11;Mallows_32;1181.0;26.754392862319946
SPOC_11;Mallows_33;602.0;20.890831232070923
SPOC_11;Mallows_34;719.0;22.472676038742065
SPOC_11;Mallows_35;590.0;18.048197031021118
SPOC_11;Mallows_36;646.0;22.66741418838501
SPOC_11;Mallows_37;1101.0;28.32429575920105
SPOC_11;Mallows_38;724.0;39.58130669593811
SPOC_11;Mallows_39;683.0;37.82243371009827
SPOC_11;Mallows_40;1049.0;33.795496225357056
SPOC_11;Mallows_41;623.0;34.97793650627136
SPOC_11;Mallows_42;1200.0;28.99869394302368
SPOC_11;Mallows_43;622.0;35.08697462081909
SPOC_11;Mallows_44;614.0;32.380043029785156
SPOC_11;Mallows_45;1040.0;34.73920392990112
SPOC_11;Mallows_46;746.0;39.79622459411621
SPOC_11;Mallows_47;1181.0;29.392351388931274
SPOC_11;UN_0;556.0;29.628708839416504
SPOC_11;UN_1;579.0;29.697885751724243
SPOC_11;UN_2;584.0;29.632635831832886
SPOC_11;UN_3;591.0;29.209568738937378
SPOC_11;ID;1240.0;28.41952610015869
SPOC_11;AN;648.0;30.316823720932007
SPOC_11;UNSTA;705.0;37.389617919921875
SPOC_11;UNSTB;816.0;37.87395763397217
SPOC_11;UNSTC;890.0;30.021395206451416
SPOC_11;ST_0;923.0;20.989492177963257
SPOC_11;ST_1;915.0;21.02839732170105
SPOC_11;ST_2;918.0;21.05341148376465
SPOC_11;ST_3;921.0;20.7531259059906
SPOC_11;IDSTA;1027.0;21.589706659317017
SPOC_11;IDSTB;1108.0;16.695577383041382
SPOC_11;IDSTC;1156.0;16.251882553100586
SPOC_11;IDAN_0;1144.0;14.602635860443115
SPOC_11;IDAN_1;1062.0;15.264529705047607
SPOC_11;IDAN_2;988.0;16.046285152435303
SPOC_11;IDAN_3;922.0;17.31147313117981
SPOC_11;IDAN_4;860.0;16.669054985046387
SPOC_11;IDAN_5;806.0;16.938680410385132
SPOC_11;IDAN_6;760.0;20.198595762252808
SPOC_11;IDAN_7;722.0;16.094221353530884
SPOC_11;IDAN_8;694.0;15.77084231376648
SPOC_11;IDAN_9;662.0;17.514227867126465
SPOC_11;IDAN_10;648.0;15.907903671264648
SPOC_11;ANUN_0;611.0;15.719013690948486
SPOC_11;ANUN_1;581.0;15.091960668563843
SPOC_11;ANUN_2;573.0;15.758880615234375
SPOC_11;ANUN_3;533.0;17.740825653076172
SPOC_11;ANUN_4;515.0;17.152965784072876
SPOC_11;ANUN_5;521.0;22.147945642471313
SPOC_11;ANUN_6;526.0;19.545042991638184
SPOC_11;ANUN_7;539.0;17.88455057144165
SPOC_11;ANUN_8;509.0;17.88052725791931
