instance_id;value;time
Impartial Culture_0;0.193452381;0.496239424
Impartial Culture_1;0.229166667;0.583246708
Impartial Culture_2;0.209821429;0.52839613
Impartial Culture_3;0.214285714;0.483063698
Impartial Culture_4;0.209821429;0.432491064
Impartial Culture_5;0.186011905;0.514808178
Impartial Culture_6;0.206845238;0.489088297
Impartial Culture_7;0.230654762;0.477728844
Impartial Culture_8;0.206845238;0.463136196
Impartial Culture_9;0.211309524;0.476955414
Impartial Culture_10;0.226190476;0.456804037
Impartial Culture_11;0.199404762;0.448373079
Impartial Culture_12;0.228422619;0.450295687
Impartial Culture_13;0.21577381;0.451987743
Impartial Culture_14;0.198660714;0.419145107
Impartial Culture_15;0.206845238;0.435265064
SP by Conitzer_0;0.44047619;0.443082809
SP by Conitzer_1;0.427083333;0.44651103
SP by Conitzer_2;0.388392857;0.458890676
SP by Conitzer_3;0.428571429;0.460500002
SP by Conitzer_4;0.453869048;0.521741629
SP by Conitzer_5;0.498511905;0.418666124
SP by Conitzer_6;0.4375;0.46826005
SP by Conitzer_7;0.451636905;0.435389042
SP by Conitzer_8;0.433779762;0.423129797
SP by Conitzer_9;0.399553571;0.432691336
SP by Conitzer_10;0.427083333;0.436476469
SP by Conitzer_11;0.421130952;0.479467392
SP by Conitzer_12;0.401041667;0.461118937
SP by Conitzer_13;0.367559524;0.455682039
SP by Conitzer_14;0.443452381;0.449568987
SP by Conitzer_15;0.5;0.488885641
SP by Walsh_0;0.15625;0.472324133
SP by Walsh_1;0.132440476;0.469098806
SP by Walsh_2;0.15922619;0.457577467
SP by Walsh_3;0.149553571;0.567459345
SP by Walsh_4;0.121279762;0.545131207
SP by Walsh_5;0.141369048;0.529465675
SP by Walsh_6;0.139880952;0.487748623
SP by Walsh_7;0.138392857;0.513226271
SP by Walsh_8;0.162946429;0.494444847
SP by Walsh_9;0.145833333;0.461603403
SP by Walsh_10;0.142113095;0.480993986
SP by Walsh_11;0.144345238;0.578078032
SP by Walsh_12;0.125744048;0.43822217
SP by Walsh_13;0.19047619;0.533493757
SP by Walsh_14;0.15327381;0.44465661
SP by Walsh_15;0.147321429;0.450110912
SPOC_0;0.450892857;0.419506311
SPOC_1;0.473214286;0.40857935
SPOC_2;0.453869048;0.427923441
SPOC_3;0.444940476;0.412258387
SPOC_4;0.48735119;0.428812981
SPOC_5;0.40625;0.425701618
SPOC_6;0.444940476;0.421431541
SPOC_7;0.418154762;0.426925659
SPOC_8;0.357142857;0.428846836
SPOC_9;0.391369048;0.436876297
SPOC_10;0.412946429;0.428737402
SPOC_11;0.4375;0.439476252
SPOC_12;0.423363095;0.401752234
SPOC_13;0.47172619;0.428838968
SPOC_14;0.453869048;0.420087337
SPOC_15;0.413690476;0.433335066
Single-Crossing_0;0.259672619;0.432552814
Single-Crossing_1;0.241071429;0.436724901
Single-Crossing_2;0.284970238;0.435468197
Single-Crossing_3;0.243303571;0.434383869
Single-Crossing_4;0.280505952;0.445387363
Single-Crossing_5;0.23735119;0.449810982
Single-Crossing_6;0.293154762;0.432614803
Single-Crossing_7;0.271577381;0.440774202
Single-Crossing_8;0.261904762;0.432960749
Single-Crossing_9;0.271577381;0.441197395
Single-Crossing_10;0.261160714;0.421824694
Single-Crossing_11;0.235119048;0.414874077
Single-Crossing_12;0.311011905;0.44072485
Single-Crossing_13;0.227678571;0.442505836
