instance_id;x;y
Mallows_0;-59.41424;203.56492
Mallows_1;512.21388;-178.95388
Mallows_2;305.72404;294.76372
Mallows_3;-56.12342;615.28152
Mallows_4;440.25948;-257.85503
Mallows_5;541.46999;78.81433
Mallows_6;144.83146;-418.67394
Mallows_7;-231.22157;179.03983
Mallows_8;-83.1888;5.16051
Mallows_9;-510.08721;-343.0594
Mallows_10;563.67953;40.23989
Mallows_11;608.96507;-80.81314
Mallows_12;437.72004;239.93986
Mallows_13;-231.48813;247.61443
Mallows_14;-207.19617;336.00317
Mallows_15;104.21531;14.68169
Mallows_16;-279.69598;230.79092
Mallows_17;-229.28945;472.9392
Mallows_18;208.7477;-300.12201
Mallows_19;531.10806;108.76001
Mallows_20;-245.44097;350.21766
Mallows_21;587.2111;-149.61414
Mallows_22;121.15722;-18.42643
Mallows_23;74.47477;-200.43248
Mallows_24;-373.76588;-101.76668
Mallows_25;-140.68681;347.92223
Mallows_26;103.57684;-344.41278
Mallows_27;-25.70236;630.32611
Mallows_28;312.56515;384.28771
Mallows_29;451.29546;113.83085
Mallows_30;-573.76159;-569.37733
Mallows_31;-161.97354;486.5666
Mallows_32;-264.85755;-492.10596
Mallows_33;-24.79232;135.37501
Mallows_34;106.64686;158.40694
Mallows_35;350.64049;-314.35844
Mallows_36;70.27649;239.80736
Mallows_37;-222.41924;-317.85832
Mallows_38;-22.86784;99.93598
Mallows_39;-348.13102;-391.89005
Mallows_40;-286.72375;-46.68623
Mallows_41;65.95414;336.94492
Mallows_42;-350.5358;109.00519
Mallows_43;464.5305;46.30476
Mallows_44;-343.20546;-467.34695
Mallows_45;-282.47216;89.56701
Mallows_46;61.2059;-44.53321
Mallows_47;-225.22984;340.07896
Mallows_48;-27.96977;-310.33407
Mallows_49;-20.38125;588.37081
Mallows_50;-148.9944;297.92828
Mallows_51;-263.22782;32.24463
Mallows_52;480.32209;-89.49069
Mallows_53;-343.39332;162.70883
Mallows_54;-8.81851;-113.55134
Mallows_55;112.93985;-249.77529
Mallows_56;-16.57133;430.54683
Mallows_57;239.51617;255.96947
Mallows_58;-336.25499;184.50141
Mallows_59;77.67045;-80.15836
Mallows_60;-397.90706;-92.22507
Mallows_61;-252.47347;-376.29847
Mallows_62;326.16798;174.85709
Mallows_63;-392.40141;153.58233
Mallows_64;-477.87016;-55.40171
Mallows_65;-205.64222;-120.53361
Mallows_66;-116.81108;324.60399
Mallows_67;153.63197;-384.52041
Mallows_68;-386.0358;-164.04644
Mallows_69;-460.68908;-447.5002
Mallows_70;-119.49476;-328.5084
Mallows_71;-13.60143;449.37916
Mallows_72;-73.14987;-472.84831
Mallows_73;-409.50187;-243.37474
Mallows_74;-203.99657;387.71288
Mallows_75;181.45662;-175.2194
Mallows_76;249.94463;-303.26476
Mallows_77;-4.18822;-258.59026
Mallows_78;-533.76834;-470.48884
Mallows_79;-341.85915;-99.09289
Mallows_80;-426.21062;21.12223
Mallows_81;-359.1265;-402.8877
Mallows_82;539.64616;-215.81038
Mallows_83;117.77355;525.10721
Mallows_84;402.8638;65.15494
Mallows_85;249.9988;-214.85078
Mallows_86;149.35102;241.19567
Mallows_87;156.20823;-249.7695
Mallows_88;-206.38564;329.06664
Mallows_89;-188.28396;-198.20835
Mallows_90;-78.20094;-284.98035
Mallows_91;46.71291;445.93931
Mallows_92;242.1913;378.23511
Mallows_93;195.98847;-423.52872
Mallows_94;-391.3477;157.78651
Mallows_95;95.28256;208.96399
Mallows_96;-221.60941;99.5371
Mallows_97;150.17014;283.95201
Mallows_98;267.01391;-314.3529
Mallows_99;-443.1552;-299.68458
Mallows_100;-105.13318;500.77668
Mallows_101;283.36549;38.89961
Mallows_102;452.31797;196.40543
Mallows_103;587.11188;-95.42805
Mallows_104;-558.85619;-391.16726
Mallows_105;-409.41533;8.50264
Mallows_106;-288.13418;-190.18972
Mallows_107;42.62041;-285.80733
Mallows_108;-172.39946;-305.04031
Mallows_109;-0.32298;348.92251
Mallows_110;-137.64962;-455.52745
Mallows_111;280.4061;-263.17315
Mallows_112;-517.06232;-83.5128
Mallows_113;160.50141;-36.83169
Mallows_114;589.58851;-50.26475
Mallows_115;-532.44872;-325.60524
Mallows_116;410.38706;111.05981
Mallows_117;394.66906;-261.66066
Mallows_118;59.1707;-158.89322
Mallows_119;137.70989;413.18843
Mallows_120;172.60606;-385.64003
Mallows_121;395.64445;239.52754
Mallows_122;-478.49483;60.70993
Mallows_123;-35.02558;182.59598
Mallows_124;321.01783;365.02455
Mallows_125;-410.86438;-96.28528
Mallows_126;214.24352;183.35373
Mallows_127;159.88435;-0.81267
Mallows_128;-351.88398;-97.60046
Mallows_129;-116.92859;453.88133
Mallows_130;387.84505;-168.2498
Mallows_131;21.60154;390.36089
Mallows_132;-335.39243;222.68719
Mallows_133;-427.68572;-440.37998
Mallows_134;-182.48809;-7.97605
Mallows_135;-526.41982;-384.63909
Mallows_136;-154.02671;44.19011
Mallows_137;251.13508;-43.13796
Mallows_138;-462.68547;-360.70999
Mallows_139;424.61911;-82.56426
Mallows_140;-131.87988;-464.65797
Mallows_141;434.12882;156.40354
Mallows_142;28.39586;61.02333
Mallows_143;34.43133;-388.33266
Mallows_144;351.58868;40.3128
Mallows_145;186.61204;478.30834
Mallows_146;243.68083;-404.0972
Mallows_147;-533.62923;-203.36433
Mallows_148;243.14894;97.93714
Mallows_149;1.53759;323.36547
Mallows_150;-194.29342;155.40759
Mallows_151;-101.57434;-281.93973
Mallows_152;46.7547;-442.48946
Mallows_153;-98.22682;-56.82999
Mallows_154;-48.48045;-320.5476
Mallows_155;-383.91999;-40.68413
Mallows_156;191.62695;218.02819
Mallows_157;-134.71627;541.27921
Mallows_158;-76.73655;409.14642
Mallows_159;219.91749;-116.98114
Mallows_160;237.73368;417.68288
Mallows_161;-37.2922;92.55304
Mallows_162;580.54628;-109.09323
Mallows_163;71.83656;135.21555
Mallows_164;4.5878;-435.1928
Mallows_165;42.89179;280.08586
Mallows_166;-339.48367;346.91638
Mallows_167;-206.20904;381.80381
Mallows_168;-208.33549;9.29416
Mallows_169;-142.68052;511.15766
Mallows_170;-82.9268;567.34884
Mallows_171;-457.59358;56.74012
Mallows_172;306.56449;312.37154
Mallows_173;-34.22569;-156.96513
Mallows_174;-34.47549;-349.54305
Mallows_175;-522.09477;-317.64448
Mallows_176;160.78213;469.2859
Mallows_177;-435.40052;-420.24874
Mallows_178;-149.87679;-322.6972
Mallows_179;-105.27373;458.9714
Mallows_180;133.22146;471.92722
Mallows_181;-395.77363;-282.02801
Mallows_182;300.32687;46.86793
Mallows_183;4.40039;475.27137
Mallows_184;314.99427;-80.46444
Mallows_185;294.94553;191.5038
Mallows_186;64.47789;-405.74434
Mallows_187;-137.5886;424.38963
Mallows_188;-139.45574;-64.71133
Mallows_189;178.09915;81.46463
Mallows_190;300.0995;-46.81666
Mallows_191;172.14451;465.45792
Mallows_192;-269.12621;368.61246
Mallows_193;-247.17631;-494.49963
Mallows_194;-228.52513;107.37057
Mallows_195;-546.22552;-550.65658
Mallows_196;346.66308;-230.29927
Mallows_197;129.44265;-340.35203
Mallows_198;-9.40211;-282.22466
Mallows_199;190.18528;432.72103
Mallows_200;-131.72165;-472.77016
Mallows_201;10.53048;350.37039
Mallows_202;-373.60606;-197.93693
Mallows_203;299.96052;250.55049
Mallows_204;47.89596;170.94766
Mallows_205;-39.48824;-200.01868
Mallows_206;-248.41075;-274.31938
Mallows_207;608.42678;6.26775
Mallows_208;-184.01821;-449.88443
Mallows_209;-57.71203;-395.89528
Mallows_210;355.5669;-89.843
Mallows_211;-197.04028;-21.02746
Mallows_212;298.64265;-320.66383
Mallows_213;-24.77306;-219.34942
Mallows_214;45.72476;-156.34318
Mallows_215;-6.18329;-453.21151
Mallows_216;99.1394;-197.14409
Mallows_217;317.47647;403.17444
Mallows_218;-162.20712;-186.85569
Mallows_219;-233.1858;13.84037
Mallows_220;282.77602;335.53487
Mallows_221;169.91802;-223.85064
Mallows_222;-364.88911;-112.16918
Mallows_223;-10.26413;389.33447
Mallows_224;47.6937;487.9123
Mallows_225;138.26075;373.83946
Mallows_226;-315.72514;77.58787
Mallows_227;407.19703;173.20525
Mallows_228;136.89461;430.1595
Mallows_229;-197.16558;454.39677
Mallows_230;186.51459;-433.84444
Mallows_231;-92.45117;-342.71422
Mallows_232;-371.42673;85.77607
Mallows_233;529.58305;-193.43299
Mallows_234;424.32386;-114.36498
Mallows_235;-305.15373;-322.72191
Mallows_236;148.60408;18.12759
Mallows_237;334.44065;116.6251
Mallows_238;554.83378;-172.6382
Mallows_239;-95.7771;276.6461
Mallows_240;512.91486;-252.11964
Mallows_241;-380.8669;62.68118
Mallows_242;423.2681;-64.25768
Mallows_243;-432.1119;-516.36291
Mallows_244;-328.43996;-375.38393
Mallows_245;349.83052;361.10709
Mallows_246;107.30065;267.24062
Mallows_247;-317.70247;213.5884
Mallows_248;-177.3835;438.10301
Mallows_249;-103.14642;59.9219
Mallows_250;-112.10683;520.11649
Mallows_251;216.08531;-267.78659
Mallows_252;362.99503;166.51434
Mallows_253;510.44448;244.37542
Mallows_254;292.76484;202.32966
Mallows_255;325.87993;-270.17328
Mallows_256;420.93405;5.71309
Mallows_257;410.89188;-40.9583
Mallows_258;279.93114;113.53824
Mallows_259;371.22977;-349.46157
Mallows_260;-147.69922;168.29428
Mallows_261;529.80959;131.11205
Mallows_262;106.73783;429.35693
Mallows_263;-269.86517;-85.95258
Mallows_264;-380.51784;241.20156
Mallows_265;237.94467;310.6743
Mallows_266;-150.67731;422.22124
Mallows_267;-260.58853;-64.15851
Mallows_268;5.02019;615.94898
Mallows_269;165.99955;-397.95083
Mallows_270;-367.02005;-256.95843
Mallows_271;451.59813;-287.14914
Mallows_272;-317.61296;-299.68909
Mallows_273;-427.96337;-464.34747
Mallows_274;233.63036;-389.94327
Mallows_275;420.80338;-224.67945
Mallows_276;60.16895;-267.58939
Mallows_277;-293.57546;64.98235
Mallows_278;-181.70131;81.74919
Mallows_279;-263.83826;278.31593
Mallows_280;-247.31577;-267.19501
Mallows_281;-411.50446;-439.07402
Mallows_282;-417.85206;-394.72629
Mallows_283;26.03808;441.63379
Mallows_284;337.81586;345.44811
Mallows_285;517.14091;97.0127
Mallows_286;-65.95143;368.73564
Mallows_287;142.42175;347.76345
Mallows_288;-51.21951;-89.04601
Mallows_289;-109.9032;579.71209
Mallows_290;504.55117;197.93004
Mallows_291;-191.5213;-91.18516
Mallows_292;0.63699;448.2038
Mallows_293;41.02868;181.48626
Mallows_294;-48.52829;340.32107
Mallows_295;-337.98506;-403.6926
Mallows_296;562.86558;19.23696
Mallows_297;-23.35529;-54.76961
Mallows_298;385.03927;225.99471
Mallows_299;76.04082;336.89287
Mallows_300;-147.417;-495.16854
Mallows_301;-13.44733;227.61556
Mallows_302;450.64445;-194.61115
Mallows_303;418.51841;283.63364
Mallows_304;-82.5447;565.66705
Mallows_305;86.09883;339.23536
Mallows_306;-52.01376;-182.66188
Mallows_307;-28.24036;-434.01311
Mallows_308;-208.83126;-129.39503
Mallows_309;-43.8626;-241.95512
Mallows_310;87.41937;-1.93679
Mallows_311;-67.20171;-52.86314
Mallows_312;60.39459;-73.50155
Mallows_313;495.62877;140.42521
Mallows_314;563.3485;-152.57126
Mallows_315;-69.09361;-144.28914
Mallows_316;-417.72081;-323.82035
Mallows_317;108.04914;-336.43333
Mallows_318;-505.05853;-485.35763
Mallows_319;451.55493;229.77862
Mallows_320;-405.54751;-170.1753
Mallows_321;192.10916;-99.72753
Mallows_322;-266.37215;-429.70071
Mallows_323;-538.21784;-524.86676
Mallows_324;-441.72661;-161.37788
Mallows_325;189.62553;-355.06844
Mallows_326;133.89181;-426.92738
Mallows_327;-380.47507;125.3861
Mallows_328;275.20228;278.39026
Mallows_329;209.78085;-345.41681
Mallows_330;-83.31689;589.79885
Mallows_331;359.33291;320.77763
Mallows_332;17.5906;139.6235
Mallows_333;194.4625;384.62661
Mallows_334;-139.78079;439.08211
Mallows_335;310.65109;-206.83978
Mallows_336;-271.22063;-133.88252
Mallows_337;-403.66874;-194.77607
Mallows_338;-74.71284;-236.58625
Mallows_339;14.30521;-190.35893
Mallows_340;-463.44974;-306.32018
Mallows_341;-477.53907;-60.97358
Mallows_342;-176.51306;-19.38654
Mallows_343;230.63983;456.3401
Mallows_344;41.45182;117.4749
Mallows_345;-126.48675;257.7325
Mallows_346;-190.1299;196.32876
Mallows_347;-537.15521;-383.15088
Mallows_348;59.35762;-459.30107
Mallows_349;204.55353;344.02781
UN;658.7571;12.02828
ID;-593.19398;-588.50387
AN;-57.13908;701.64704
ST;-36.32777;-609.00915
