instance_id;value;time
Mallows_0;0.505952381;0.555454016
Mallows_1;0.177083333;0.449296951
Mallows_2;0.499255952;0.47734952
Mallows_3;0.922619048;0.48060751
Mallows_4;0.130952381;0.474925518
Mallows_5;0.281994048;0.469924927
Mallows_6;0.063988095;0.455758572
Mallows_7;0.508928571;0.489707232
Mallows_8;0.334821429;0.456462145
Mallows_9;0.141369048;0.476800442
Mallows_10;0.258928571;0.477639198
Mallows_11;0.207589286;0.468666792
Mallows_12;0.395833333;0.5130229
Mallows_13;0.566964286;0.507803917
Mallows_14;0.65625;0.480088234
Mallows_15;0.290178571;0.460010767
Mallows_16;0.561011905;0.455252647
Mallows_17;0.772321429;0.487230778
Mallows_18;0.082589286;0.455005646
Mallows_19;0.306547619;0.500938654
Mallows_20;0.663690476;0.48729372
Mallows_21;0.188988095;0.458336592
Mallows_22;0.280505952;0.45558238
Mallows_23;0.169642857;0.452647448
Mallows_24;0.293154762;0.464505196
Mallows_25;0.657738095;0.472618818
Mallows_26;0.087053571;0.458647728
Mallows_27;0.921130952;0.474592686
Mallows_28;0.572916667;0.471325397
Mallows_29;0.321428571;0.440433264
Mallows_30;0.004464286;0.487798214
Mallows_31;0.793154762;0.464343071
Mallows_32;0.023065476;0.458687305
Mallows_33;0.410714286;0.463163614
Mallows_34;0.40327381;0.465551853
Mallows_35;0.138392857;0.455491066
Mallows_36;0.517857143;0.46001339
Mallows_37;0.117559524;0.4511621
Mallows_38;0.405505952;0.468223333
Mallows_39;0.08110119;0.474351645
Mallows_40;0.330357143;0.465085268
Mallows_41;0.599702381;0.478421926
Mallows_42;0.453869048;0.460722685
Mallows_43;0.285714286;0.478486776
Mallows_44;0.032738095;0.462277412
Mallows_45;0.441964286;0.461582661
Mallows_46;0.279761905;0.445346594
Mallows_47;0.657738095;0.481428623
Mallows_48;0.086309524;0.437246561
Mallows_49;0.892857143;0.470339537
Mallows_50;0.619047619;0.472295046
Mallows_51;0.383928571;0.471097946
Mallows_52;0.197916667;0.470000505
Mallows_53;0.507440476;0.469712257
Mallows_54;0.223214286;0.467560053
Mallows_55;0.135416667;0.456223726
Mallows_56;0.724702381;0.470755339
Mallows_57;0.476934524;0.447750568
Mallows_58;0.522321429;0.47685957
Mallows_59;0.25;0.461646557
Mallows_60;0.303571429;0.467385292
Mallows_61;0.087053571;0.460540295
Mallows_62;0.389880952;0.452057123
Mallows_63;0.50297619;0.473198652
Mallows_64;0.34672619;0.467081547
Mallows_65;0.255952381;0.468360901
Mallows_66;0.62797619;0.4705863
Mallows_67;0.060267857;0.476260185
Mallows_68;0.245535714;0.475293159
Mallows_69;0.05952381;0.466073275
Mallows_70;0.086309524;0.466396332
Mallows_71;0.736607143;0.521689653
Mallows_72;0.032738095;0.450820923
Mallows_73;0.191964286;0.479026318
